file,smiles,affinity
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_14.sdf,Cc1csc(-c2cccnc2)n1,21.945
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_33.sdf,CC/C(=C(/c1ccccc1)c1ccc(OCCN)cc1)c1ccccc1,94.11
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_27.sdf,COCO[C@@H]([C@@H]1OC(C)(C)O[C@@H]1COS(=O)(=O)c1ccc(C)cc1)[C@@H](CNC(=O)c1ccccc1)c1ccc2c(c1)OCO2,40.384
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_1.sdf,Nc1ccc(SC[C@H]2CO[C@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,214.663
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_15.sdf,O=C1N[C@@H]2C(=C[C@@H](O)[C@@H](O)[C@@H]2O)c2cc3c(c(O)c21)OCO3,253.159
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_28.sdf,C/C(=C/COc1c2ccoc2cc2oc(=O)ccc12)CC[C@@H](O)C(C)(C)O,11.989
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_4.sdf,C=CCOc1cccc2oc(=O)ccc12,-1.291
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_34.sdf,C=C(C)[C@H](CC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12)OC(C)(C)[C@@H](O)CC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12,165.361
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_29.sdf,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@@]3(O)CC,230.233
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_46.sdf,CC(C)CN(C[C@H](O)[C@@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,137.979
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_35.sdf,CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CC[C@H](OC(C)(C)[C@H](O)CCC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12)C(C)(C)O,242.387
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_36.sdf,NCc1ccc(-c2ccccc2)o1,-1.159
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_41.sdf,CNCCC[C@@](C#N)(c1ccc(OC)c(OC)c1)C(C)C,15.306
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_47.sdf,c1cncc(-c2ccc(C3SCCS3)o2)c1,8.263
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn/4wnv_predict_30.sdf,CC1(C)O[C@H]2CC(=O)OC[C@@]23[C@@H]1CC(=O)[C@@]1(C)[C@@H]3CC[C@]2(C)[C@H](c3ccoc3)OC(=O)[C@@H]3O[C@]312,111.171
