file,smiles,affinity
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1524.sdf,FC(F)(F)c1ccc(N(c2cncnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,183.529
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1261.sdf,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@H]4C)n2)CCN(c2ccnc(C)n2)C3)cc1,237.444
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1788.sdf,COCCCN1C(=O)COc2ccc(SC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,111.717
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1.sdf,Cc1nc2cc(OC[C@@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,74.381
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_10.sdf,c1ccc(Nc2ccccn2)cc1,-1.023
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1525.sdf,CS(=O)(=O)c1ccc(N2CCC(N(c3ccc(C#N)cc3)c3cccnc3)CC2)cc1,78.928
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1262.sdf,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@H]4C)n2)CCN(c2ncc(F)cn2)C3)cc1,172.912
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1789.sdf,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(N2CCN(c3ccc(F)cc3)CC2)cc1,212.682
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_1526.sdf,FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)nc3)CC2)cc1,318.305
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_1tqn_ic50/4wnv_predict_100.sdf,,181.908
