file,smiles,affinity
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1180.sdf,CC(=O)N[C@H]1C(C)(C)[C@@H](Oc2ccc(C#N)c(Cl)c2)C1(C)C,157.962
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1271.sdf,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(C(=O)N(C)C)cc1,181.926
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_109.sdf,[C-]#[N+]c1ccc(N2C(=O)C3(CCC3)N(c3ccc(CO)cc3)C2=S)cc1C(F)(F)F,237.663
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1.sdf,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,152.883
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1181.sdf,CC(=O)N[C@H]1C(C)(C)[C@@H](Oc2ccc(C#N)c(C)c2)C1(C)C,275.097
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1272.sdf,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(C(=O)NC(C)(C)C)cc1,235.287
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1090.sdf,COC(=O)C1=C(Cn2cncn2)NC(C)=C(C#N)[C@@H]1c1ccc(F)cc1Cl,151.22
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_10.sdf,C[C@]12[C@H]3CC[C@H]([C@H]3O)[C@@H]1CN(c1ccc(C#N)c(C(F)(F)F)c1)S2(=O)=O,215.007
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1182.sdf,CC(=O)N[C@H]1C(C)(C)[C@@H](Oc2ccc(C#N)c(C(F)(F)F)c2)C1(C)C,113.596
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1273.sdf,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(C(=O)NCCO)cc1,215.597
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1091.sdf,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@@H]1c1ccc(F)cc1Cl,265.314
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_100.sdf,[C-]#[N+]c1ccc(N2C(=O)[C@](C)(CF)N(c3ccc(C)cc3)C2=S)cc1C(F)(F)F,181.255
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1183.sdf,CC(=O)N[C@H]1C(C)(C)[C@@H](Oc2ccc(C#N)cc2Cl)C1(C)C,27.251
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1274.sdf,CC1=CC(C)(C)N(C)c2cc3nc(O)cc(C(F)(F)F)c3cc21,157.949
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1000.sdf,CC#C[C@]1(O)CC[C@@]2(CC)c3ccc(OCc4cccnc4C)cc3CC[C@H]2C1,82.863
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1092.sdf,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@@H]1c1ccc(F)cc1Cl,173.691
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1184.sdf,CC(=O)N[C@H]1C(C)(C)[C@@H](Oc2ccc(C#N)c(C)n2)C1(C)C,23.864
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1001.sdf,CC#C[C@@]1(O)CC[C@]2(CC)c3ccc(O)cc3CC[C@@H]2C1,200.737
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1275.sdf,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(C(=O)NCC(C)(C)O)cc1,257.566
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1093.sdf,C[C@@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@H]1CC[C@@H]2[C@@]1(C)CC=CC(=O)N1,107.981
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1185.sdf,CC1(C)[C@H](NC(=O)c2cnccn2)C(C)(C)[C@H]1Oc1ccc(C#N)c(Cl)c1,224.945
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1002.sdf,CN1C(=O)C=C[C@@]2(C)[C@@H]3CC[C@]4(C)[C@H](CC[C@@H]4O)[C@H]3CC[C@H]12,282.567
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1276.sdf,Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Cc1ccc(C(=O)N2CCOCC2)cc1,276.024
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1186.sdf,CCC[C@]1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,71.375
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1003.sdf,C[C@H]1C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@@H]3CC[C@@]2(C)[C@H]1O,312.914
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1187.sdf,,164.203
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1095.sdf,C[C@@]12CC[C@@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@]1(C)CC=CC(=O)N1,112.133
/mnt/c/Users/466259/Uni-Mol/unimol_docking_v2/interface/predict_sdf_4k7a_ic50/4wnv_predict_1004.sdf,COC[C@@H]1C[C@@H]2[C@H]3CC[C@@H]4N(C)C(=O)C=C[C@]4(C)[C@@H]3CC[C@]2(C)[C@@H]1O,59.948
